[(2, 1), (10, 1), (18, 1)], [], [0, 0]
[(2, 2), (10, 1), (18, 1)], [], [8, 0]
[(2, 2), (9, 1), (18, 1)], [], [16, 0]
[(2, 2), (9, 1), (17, 1)], [], [16, 8]
[(2, 2), (9, 1), (17, 1)], [], [16, 8]
[(2, 2), (9, 1), (17, 1)], [], [16, 8]
[(2, 3), (9, 1), (17, 1)], [], [24, 8]
[(2, 3), (8, 1), (17, 1)], [], [32, 8]
[(2, 3), (8, 1), (16, 1)], [], [32, 16]
[(2, 3), (8, 1), (16, 1)], [], [32, 16]
[(2, 3), (8, 1), (16, 1)], [], [32, 16]
[(2, 4), (8, 1), (16, 1)], [], [40, 16]
[(2, 4), (7, 1), (16, 1)], [], [48, 16]
[(2, 4), (7, 1), (16, 2)], [], [48, 24]
[(2, 4), (7, 1), (16, 2)], [], [48, 24]
[(2, 4), (7, 1), (16, 2)], [], [48, 24]
[(2, 5), (7, 1), (16, 2)], [], [56, 24]
[(2, 5), (8, 1), (16, 2)], [], [54, 24]
[(2, 5), (8, 1), (16, 1)], [], [54, 22]
[(2, 5), (8, 1), (16, 1)], [], [54, 22]
[(2, 5), (8, 1), (16, 1)], [], [54, 22]
[(3, 5), (8, 1), (16, 1)], [], [62, 22]
[(3, 5), (9, 1), (16, 1)], [], [60, 22]
[(3, 5), (9, 1), (17, 1)], [], [60, 20]
[(3, 5), (9, 1), (17, 1)], [], [60, 20]
[(3, 5), (9, 1), (17, 1)], [], [60, 20]
[(4, 5), (9, 1), (17, 1)], [], [68, 20]
[(4, 5), (10, 1), (17, 1)], [], [66, 20]
[(4, 5), (10, 1), (18, 1)], [], [66, 18]
[(4, 5), (10, 1), (18, 1)], [], [66, 18]
[(4, 5), (10, 1), (18, 1)], [], [66, 18]
[(5, 5), (10, 1), (18, 1)], [], [74, 18]
[(5, 5), (11, 1), (18, 1)], [], [82, 18]
[(5, 5), (11, 1), (19, 1)], [], [82, 26]
[(5, 5), (11, 1), (19, 1)], [], [82, 26]
[(5, 5), (11, 1), (19, 1)], [], [82, 26]
[(5, 4), (11, 1), (19, 1)], [], [90, 26]
[(5, 4), (11, 1), (19, 1)], [], [88, 26]
[(5, 4), (11, 1), (19, 2)], [], [88, 34]
[(5, 4), (11, 1), (19, 2)], [], [88, 34]
[(5, 4), (11, 1), (19, 2)], [], [88, 34]
[(5, 3), (11, 1), (19, 2)], [], [96, 34]
[(5, 3), (12, 1), (19, 2)], [], [104, 34]
[(5, 3), (12, 1), (19, 1)], [], [104, 32]
[(5, 3), (12, 1), (19, 1)], [], [104, 32]
[(5, 3), (12, 1), (19, 1)], [], [104, 32]
[(5, 2), (12, 1), (19, 1)], [], [112, 32]
[(5, 2), (13, 1), (19, 1)], [], [120, 32]
[(5, 2), (13, 1), (20, 1)], [], [120, 40]
[(5, 2), (13, 1), (20, 1)], [], [120, 40]
[(5, 2), (13, 1), (20, 1)], [], [120, 40]
[(5, 1), (13, 1), (20, 1)], [], [128, 40]
[(5, 1), (14, 1), (20, 1)], [], [136, 40]
[(5, 1), (14, 1), (19, 1)], [], [136, 38]
[(5, 1), (14, 1), (19, 1)], [], [136, 38]
[(5, 1), (14, 1), (19, 1)], [], [136, 38]
[(6, 1), (14, 1), (19, 1)], [], [144, 38]
[(6, 1), (14, 2), (19, 1)], [], [152, 38]
[(6, 1), (14, 2), (19, 2)], [], [152, 36]
[(6, 1), (14, 2), (19, 2)], [], [152, 36]
[(6, 1), (14, 2), (19, 2)], [], [152, 36]
[(7, 1), (14, 2), (19, 2)], [], [150, 36]
[(7, 1), (14, 3), (19, 2)], [], [158, 36]
[(7, 1), (14, 3), (19, 3)], [], [158, 44]
[(7, 1), (14, 3), (19, 3)], [], [158, 44]
[(7, 1), (14, 3), (19, 3)], [], [158, 44]
[(7, 2), (14, 3), (19, 3)], [], [166, 44]
[(7, 2), (14, 4), (19, 3)], [], [174, 44]
[(7, 2), (14, 4), (19, 4)], [], [174, 52]
[(7, 2), (14, 4), (19, 4)], [], [174, 52]
[(7, 2), (14, 4), (19, 4)], [], [174, 52]
[(7, 3), (14, 4), (19, 4)], [], [182, 52]
[(7, 3), (14, 5), (19, 4)], [], [190, 52]
[(7, 3), (14, 5), (19, 5)], [], [190, 60]
[(7, 3), (14, 5), (19, 5)], [], [190, 60]
[(7, 3), (14, 5), (19, 5)], [], [190, 60]
[(7, 4), (14, 5), (19, 5)], [], [198, 60]
