[[2, 1], [10, 1], [18, 1]], [], [0, 0]
[[2, 2], [10, 1], [18, 1]], [], [8, 0]
[[2, 2], [9, 1], [18, 1]], [], [16, 0]
[[2, 2], [9, 1], [17, 1]], [], [16, 8]
[[2, 2], [9, 1], [17, 1]], [], [16, 8]
[[2, 2], [9, 1], [17, 1]], [], [16, 8]
[[2, 3], [9, 1], [17, 1]], [], [24, 8]
[[2, 3], [8, 1], [17, 1]], [], [32, 8]
[[2, 3], [8, 1], [16, 1]], [], [32, 16]
[[2, 3], [8, 1], [16, 1]], [], [32, 16]
[[2, 3], [8, 1], [16, 1]], [], [32, 16]
[[2, 4], [8, 1], [16, 1]], [], [40, 16]
[[2, 4], [7, 1], [16, 1]], [], [48, 16]
[[2, 4], [7, 1], [16, 2]], [], [48, 24]
[[2, 4], [7, 1], [16, 2]], [], [48, 24]
[[2, 4], [7, 1], [16, 2]], [], [48, 24]
[[2, 5], [7, 1], [16, 2]], [], [56, 24]
[[2, 5], [8, 1], [16, 2]], [], [54, 24]
[[2, 5], [8, 1], [16, 1]], [], [54, 22]
[[2, 5], [8, 1], [16, 1]], [], [54, 22]
[[2, 5], [8, 1], [16, 1]], [], [54, 22]
[[3, 5], [8, 1], [16, 1]], [], [62, 22]
[[3, 5], [9, 1], [16, 1]], [], [60, 22]
[[3, 5], [9, 1], [17, 1]], [], [60, 20]
[[3, 5], [9, 1], [17, 1]], [], [60, 20]
[[3, 5], [9, 1], [17, 1]], [], [60, 20]
[[4, 5], [9, 1], [17, 1]], [], [68, 20]
[[4, 5], [10, 1], [17, 1]], [], [66, 20]
[[4, 5], [10, 1], [18, 1]], [], [66, 18]
[[4, 5], [10, 1], [18, 1]], [], [66, 18]
[[4, 5], [10, 1], [18, 1]], [], [66, 18]
[[5, 5], [10, 1], [18, 1]], [], [74, 18]
[[5, 5], [11, 1], [18, 1]], [], [82, 18]
[[5, 5], [11, 1], [19, 1]], [], [82, 26]
[[5, 5], [11, 1], [19, 1]], [], [82, 26]
[[5, 5], [11, 1], [19, 1]], [], [82, 26]
[[5, 4], [11, 1], [19, 1]], [], [90, 26]
[[5, 4], [12, 1], [19, 1]], [], [98, 26]
[[5, 4], [12, 1], [20, 1]], [], [98, 34]
[[5, 4], [12, 1], [20, 1]], [], [98, 34]
[[5, 4], [12, 1], [20, 1]], [], [98, 34]
[[5, 3], [12, 1], [20, 1]], [], [106, 34]
[[5, 3], [13, 1], [20, 1]], [], [114, 34]
[[5, 3], [13, 1], [20, 2]], [], [114, 42]
[[5, 3], [13, 1], [20, 2]], [], [114, 42]
[[5, 3], [13, 1], [20, 2]], [], [114, 42]
[[5, 2], [13, 1], [20, 2]], [], [122, 42]
[[5, 2], [14, 1], [20, 2]], [], [130, 42]
[[5, 2], [14, 1], [20, 1]], [], [130, 40]
[[5, 2], [14, 1], [20, 1]], [], [130, 40]
[[5, 2], [14, 1], [20, 1]], [], [130, 40]
[[5, 1], [14, 1], [20, 1]], [], [138, 40]
[[5, 1], [15, 1], [20, 1]], [], [146, 40]
[[5, 1], [15, 1], [19, 1]], [], [146, 38]
[[5, 1], [15, 1], [19, 1]], [], [146, 38]
[[5, 1], [15, 1], [19, 1]], [], [146, 38]
[[6, 1], [15, 1], [19, 1]], [], [154, 38]
[[6, 1], [16, 1], [19, 1]], [], [152, 38]
[[6, 1], [16, 1], [19, 2]], [], [152, 46]
[[6, 1], [16, 1], [19, 2]], [], [152, 46]
[[6, 1], [16, 1], [19, 2]], [], [152, 46]
[[7, 1], [16, 1], [19, 2]], [], [150, 46]
[[7, 1], [16, 2], [19, 2]], [], [148, 46]
[[7, 1], [16, 2], [19, 3]], [], [148, 54]
[[7, 1], [16, 2], [19, 3]], [], [148, 54]
[[7, 1], [16, 2], [19, 3]], [], [148, 54]
[[7, 2], [16, 2], [19, 3]], [], [156, 54]
[[7, 2], [16, 3], [19, 3]], [], [164, 54]
[[7, 2], [16, 3], [19, 4]], [], [164, 62]
[[7, 2], [16, 3], [19, 4]], [], [164, 62]
[[7, 2], [16, 3], [19, 4]], [], [164, 62]
[[7, 3], [16, 3], [19, 4]], [], [172, 62]
[[7, 3], [16, 4], [19, 4]], [], [180, 62]
[[7, 3], [16, 4], [19, 5]], [], [180, 70]
[[7, 3], [16, 4], [19, 5]], [], [180, 70]
[[7, 3], [16, 4], [19, 5]], [], [180, 70]
[[7, 4], [16, 4], [19, 5]], [], [188, 70]
[[7, 4], [16, 5], [19, 5]], [], [196, 70]
[[7, 4], [16, 5], [18, 5]], [], [196, 78]
[[7, 4], [16, 5], [18, 5]], [], [196, 78]
[[7, 4], [16, 5], [18, 5]], [], [196, 78]
[[7, 5], [16, 5], [18, 5]], [], [204, 78]
[[7, 5], [15, 5], [18, 5]], [], [212, 78]
[[7, 5], [15, 5], [17, 5]], [], [212, 86]
[[7, 5], [15, 5], [17, 5]], [], [212, 86]
[[7, 5], [15, 5], [17, 5]], [], [212, 86]
[[6, 5], [15, 5], [17, 5]], [], [220, 86]
[[6, 5], [15, 5], [17, 5]], [], [218, 86]
[[6, 5], [15, 5], [17, 5]], [], [218, 84]
[[6, 5], [15, 5], [17, 5]], [], [218, 84]
[[6, 5], [15, 5], [17, 5]], [], [218, 84]
[[7, 5], [15, 5], [17, 5]], [], [216, 84]
[[7, 5], [15, 5], [17, 5]], [], [214, 84]
[[7, 5], [15, 5], [17, 5]], [], [214, 82]
[[7, 5], [15, 5], [17, 5]], [], [214, 82]
Pacman #2 died
Team #1 eliminated
Game Over! Scores: [214, -418]
